epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1315.38,1.10183,0.98062,1.23904,0.95588,0.67764,0.80575,0.48472,1.43925,1.1913,1.36211,0.000990365,0.000990365,0.000990365
43,1346.27,0.99718,0.89851,1.1604,0.9281,0.80946,0.85932,0.52409,1.3937,1.07228,1.33166,0.000973861,0.000973861,0.000973861
44,1377.29,1.01041,0.85949,1.14503,0.8447,0.70486,0.78059,0.46486,1.57673,1.10787,1.46314,0.000957358,0.000957358,0.000957358
45,1409.3,0.99797,0.83105,1.16192,0.91498,0.78061,0.84656,0.50537,1.51389,0.9903,1.39634,0.000940855,0.000940855,0.000940855
46,1439.85,1.03856,0.88477,1.19963,0.90929,0.72969,0.84597,0.53695,1.48508,1.0081,1.44775,0.000924352,0.000924352,0.000924352
47,1469.46,0.96767,0.91595,1.14293,0.86727,0.79167,0.84337,0.5041,1.43266,1.08942,1.32864,0.000907848,0.000907848,0.000907848
48,1499.09,1.01919,0.84203,1.20524,0.94055,0.79167,0.8357,0.53392,1.4389,0.99833,1.36985,0.000891345,0.000891345,0.000891345
49,1528.65,1.01822,0.8553,1.17861,0.93147,0.81153,0.85577,0.52367,1.4675,0.9113,1.38607,0.000874842,0.000874842,0.000874842
50,1558.71,0.98371,0.79683,1.17342,0.93207,0.83019,0.8993,0.54055,1.53374,0.98789,1.37314,0.000858338,0.000858338,0.000858338
51,1589.13,0.99456,0.81422,1.17558,0.98758,0.73403,0.8931,0.55321,1.48732,0.98373,1.32569,0.000841835,0.000841835,0.000841835
52,1619.12,0.95342,0.80113,1.1606,0.97777,0.76389,0.89337,0.58332,1.29804,0.83913,1.26256,0.000825332,0.000825332,0.000825332
53,1648.87,0.9488,0.78297,1.16256,0.84671,0.85417,0.89967,0.51702,1.47909,0.98873,1.34679,0.000808828,0.000808828,0.000808828
54,1679.32,0.98316,0.78752,1.16977,0.96629,0.79249,0.88693,0.4904,1.47825,1.05738,1.39774,0.000792325,0.000792325,0.000792325
