epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,808.516,1.32104,1.65234,1.32356,0.00294,0.25,0.00811,0.00166,2.99842,110.545,5.0836,0.000822003,0.000822003,0.000822003
43,825.184,1.3672,2.06095,1.3982,0.00294,0.25,0.00811,0.00166,2.99842,110.545,5.0836,0.000827782,0.000827782,0.000827782
44,842.28,1.27826,2.21248,1.27123,0.00294,0.25,0.00811,0.00166,2.99842,110.545,5.0836,0.000832902,0.000832902,0.000832902
45,859.563,1.36582,2.12009,1.3809,0.00294,0.25,0.00811,0.00166,2.99842,110.545,5.0836,0.000837361,0.000837361,0.000837361
46,877.289,1.43244,1.74253,1.24961,0.44264,0.66667,0.43061,0.12023,2.619,42.4273,4.08889,0.00084116,0.00084116,0.00084116
47,894.285,1.21233,1.61103,1.26327,0.44264,0.66667,0.43061,0.12023,2.619,42.4273,4.08889,0.000844299,0.000844299,0.000844299
48,911.27,1.17961,1.53691,1.22262,0.44264,0.66667,0.43061,0.12023,2.619,42.4273,4.08889,0.000846778,0.000846778,0.000846778
49,928.807,1.22333,1.45758,1.22475,0.44264,0.66667,0.43061,0.12023,2.619,42.4273,4.08889,0.000848596,0.000848596,0.000848596
50,946.065,1.21764,1.44554,1.22953,0.28786,0.41667,0.41604,0.10182,2.79523,15.6509,4.28972,0.000849755,0.000849755,0.000849755
51,963.49,1.58797,1.5645,1.46948,0.28786,0.41667,0.41604,0.10182,2.79523,15.6509,4.28972,0.000841835,0.000841835,0.000841835
52,980.475,1.3535,1.45438,1.38115,0.28786,0.41667,0.41604,0.10182,2.79523,15.6509,4.28972,0.000825332,0.000825332,0.000825332
53,996.928,1.25083,1.76454,1.28183,0.28786,0.41667,0.41604,0.10182,2.79523,15.6509,4.28972,0.000808828,0.000808828,0.000808828
54,1014.28,1.30131,1.44532,1.2252,0.01287,0.16667,0.0072,0.00221,3.11225,9.23037,4.20275,0.000792325,0.000792325,0.000792325
55,1031.41,1.43378,1.43355,1.38582,0.01287,0.16667,0.0072,0.00221,3.11225,9.23037,4.20275,0.000775822,0.000775822,0.000775822
56,1048.95,0.94268,1.12921,1.13598,0.01287,0.16667,0.0072,0.00221,3.11225,9.23037,4.20275,0.000759318,0.000759318,0.000759318
57,1065.77,0.94661,1.10111,1.14644,0.01287,0.16667,0.0072,0.00221,3.11225,9.23037,4.20275,0.000742815,0.000742815,0.000742815
58,1083.58,1.2109,1.18404,1.21487,0.00243,0.66667,0.00402,0.00044,3.39114,15.3408,5.71251,0.000726312,0.000726312,0.000726312
59,1101.09,1.31263,1.7982,1.46213,0.00243,0.66667,0.00402,0.00044,3.39114,15.3408,5.71251,0.000709809,0.000709809,0.000709809
60,1118.74,1.07691,1.29619,1.28022,0.00243,0.66667,0.00402,0.00044,3.39114,15.3408,5.71251,0.000693305,0.000693305,0.000693305
61,1135.85,1.43077,1.57205,1.39026,0.00243,0.66667,0.00402,0.00044,3.39114,15.3408,5.71251,0.000676802,0.000676802,0.000676802
62,1157.41,1.32108,1.17588,1.25597,0.06866,0.66667,0.07653,0.01848,2.78452,11.2647,3.75175,0.000660299,0.000660299,0.000660299
63,1180.96,1.17089,1.07029,1.21456,0.06866,0.66667,0.07653,0.01848,2.78452,11.2647,3.75175,0.000643795,0.000643795,0.000643795
64,1199.91,1.12732,1.20241,1.20019,0.06866,0.66667,0.07653,0.01848,2.78452,11.2647,3.75175,0.000627292,0.000627292,0.000627292
65,1218.62,1.23746,1.05177,1.24347,0.06866,0.66667,0.07653,0.01848,2.78452,11.2647,3.75175,0.000610789,0.000610789,0.000610789
66,1237.59,0.97673,0.97487,1.16171,0.686,0.5,0.37478,0.12482,2.3703,11.1845,2.80491,0.000594286,0.000594286,0.000594286
67,1255.31,1.08833,1.0954,1.19164,0.686,0.5,0.37478,0.12482,2.3703,11.1845,2.80491,0.000577782,0.000577782,0.000577782
68,1272.65,1.12074,1.03485,1.19523,0.686,0.5,0.37478,0.12482,2.3703,11.1845,2.80491,0.000561279,0.000561279,0.000561279
69,1290.31,1.12502,1.263,1.23568,0.686,0.5,0.37478,0.12482,2.3703,11.1845,2.80491,0.000544776,0.000544776,0.000544776
