epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,323.941,1.19923,1.19081,1.32491,0.98758,0.8836,0.94385,0.57804,1.13994,1.16697,1.09789,0.000990365,0.000990365,0.000990365
43,331.527,1.16662,1.10767,1.25296,0.80305,0.7025,0.75755,0.53272,1.22772,1.62267,1.24614,0.000973861,0.000973861,0.000973861
44,339.285,1.24193,1.17628,1.28151,0.88963,0.70371,0.7715,0.49721,1.36639,1.69146,1.42667,0.000957358,0.000957358,0.000957358
45,346.79,1.15162,1.10761,1.27388,0.86905,0.82091,0.77107,0.49233,1.33362,1.64518,1.38648,0.000940855,0.000940855,0.000940855
46,354.188,1.12926,1.13561,1.25828,0.92808,0.82224,0.77416,0.45025,1.39216,1.75349,1.39233,0.000924352,0.000924352,0.000924352
47,361.72,1.19946,1.14987,1.302,0.76812,0.65242,0.60513,0.39647,1.47199,1.81453,1.46237,0.000907848,0.000907848,0.000907848
48,369.134,1.12039,1.06426,1.23289,0.79073,0.71502,0.72195,0.40477,1.41501,1.89502,1.45525,0.000891345,0.000891345,0.000891345
49,376.641,1.16708,1.07835,1.27797,0.64347,0.81827,0.6892,0.37837,1.46809,1.70689,1.43531,0.000874842,0.000874842,0.000874842
50,384.187,1.18832,1.02697,1.24646,0.60181,0.63555,0.55603,0.3988,1.39377,1.79412,1.449,0.000858338,0.000858338,0.000858338
51,391.67,1.20157,1.12101,1.27641,0.59401,0.6926,0.64518,0.37897,1.48608,1.69587,1.45498,0.000841835,0.000841835,0.000841835
52,399.085,1.0877,1.02907,1.22417,0.81425,0.59661,0.62521,0.30712,1.59701,1.74969,1.45654,0.000825332,0.000825332,0.000825332
53,406.885,1.13931,1.04935,1.23918,0.75868,0.51302,0.49304,0.27749,1.61936,1.86757,1.4997,0.000808828,0.000808828,0.000808828
54,414.656,1.12049,1.07714,1.23773,0.67694,0.61964,0.58746,0.28644,1.63614,1.82631,1.46081,0.000792325,0.000792325,0.000792325
55,422.417,1.14681,1.03904,1.26116,0.49664,0.82857,0.71397,0.36469,1.59346,1.76427,1.43464,0.000775822,0.000775822,0.000775822
56,430.194,1.10497,1.08021,1.24527,0.53018,0.82857,0.70334,0.39627,1.543,1.60699,1.42111,0.000759318,0.000759318,0.000759318
57,438.085,1.15396,1.05503,1.26068,0.57335,0.72857,0.63979,0.36705,1.52913,1.59303,1.39682,0.000742815,0.000742815,0.000742815
58,445.601,1.13088,1.01751,1.23606,0.67425,0.72857,0.66349,0.41834,1.50913,1.59272,1.38248,0.000726312,0.000726312,0.000726312
59,453.176,1.19383,1.10223,1.22542,0.89291,0.80309,0.82433,0.51937,1.33754,1.38407,1.29125,0.000709809,0.000709809,0.000709809
60,460.878,1.04317,0.97886,1.20271,0.9222,0.75714,0.83159,0.54362,1.32487,1.34963,1.31028,0.000693305,0.000693305,0.000693305
61,468.457,1.08425,0.96391,1.2269,0.98653,0.80269,0.92222,0.57911,1.31272,1.25414,1.28366,0.000676802,0.000676802,0.000676802
62,475.963,1.05039,0.97064,1.18668,0.98625,0.80489,0.9225,0.57584,1.27384,1.21254,1.24028,0.000660299,0.000660299,0.000660299
63,483.556,1.08397,1.05748,1.23138,0.98596,0.7959,0.91129,0.56418,1.29133,1.22231,1.2579,0.000643795,0.000643795,0.000643795
64,490.81,1.03517,0.95947,1.21812,0.98195,0.7932,0.90545,0.5308,1.33159,1.27083,1.28473,0.000627292,0.000627292,0.000627292
65,498.663,1.08865,0.9391,1.22866,0.87805,0.71198,0.82634,0.53962,1.37153,1.33076,1.28234,0.000610789,0.000610789,0.000610789
66,506.533,1.02668,0.94363,1.20478,0.75199,0.8121,0.81504,0.51613,1.37252,1.43814,1.26915,0.000594286,0.000594286,0.000594286
67,514.167,1.06333,0.94791,1.21361,0.6827,0.82857,0.75815,0.52491,1.29537,1.62721,1.24782,0.000577782,0.000577782,0.000577782
68,521.711,1.09741,0.9435,1.19945,0.6954,0.82857,0.76357,0.49911,1.26175,1.6319,1.23802,0.000561279,0.000561279,0.000561279
69,528.994,1.03905,0.91308,1.17774,0.65279,0.82857,0.75329,0.50152,1.17893,1.59016,1.21251,0.000544776,0.000544776,0.000544776
70,536.317,1.03357,0.96159,1.20517,0.64404,0.82985,0.7581,0.54238,1.1332,1.4808,1.18228,0.000528272,0.000528272,0.000528272
71,543.858,1.01191,0.92562,1.18464,0.79462,0.75714,0.77653,0.53714,1.18631,1.47599,1.20813,0.000511769,0.000511769,0.000511769
72,551.286,1.05343,0.90306,1.20134,0.81771,0.8525,0.81081,0.56356,1.24218,1.34045,1.20623,0.000495266,0.000495266,0.000495266
73,558.858,1.00578,0.85948,1.16956,0.81502,0.85714,0.81875,0.5587,1.2818,1.30572,1.21584,0.000478762,0.000478762,0.000478762
74,566.455,1.07452,0.93429,1.20893,0.81596,0.85714,0.81162,0.55511,1.27013,1.30388,1.21052,0.000462259,0.000462259,0.000462259
75,574.104,0.97195,0.84076,1.13912,0.79665,0.91668,0.89531,0.62085,1.25353,0.99965,1.096,0.000445756,0.000445756,0.000445756
76,581.534,0.96852,0.90347,1.17932,0.91085,0.92857,0.94917,0.61863,1.22295,0.98316,1.10842,0.000429253,0.000429253,0.000429253
77,588.873,1.07939,0.8555,1.19075,0.90567,0.92857,0.94917,0.64612,1.24329,0.97139,1.12873,0.000412749,0.000412749,0.000412749
78,597.635,1.02058,0.89001,1.19013,0.92725,0.84041,0.95269,0.63993,1.24214,0.96263,1.14986,0.000396246,0.000396246,0.000396246
